trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-126.06507764501461,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-147.93112440417212,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-68.23197865696272,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-109.7189343192527,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-206.46951082756976,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-113.95846913840981,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,6,-42.719811341374594,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.92274469442792}",25,0,-112.58258614383,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-64.34165510171287,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-92.44825350723058,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-118.7142609432831,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-229.1865621534068,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-66.6917457354159,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,0,-58.70541611118638,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",25,0,-224.127629695743,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",30,0,-102.35684090908794,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,0,-83.32408113997388,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",25,0,-100.19452494117265,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",20,0,-92.93566186940394,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",35,0,-97.13986409352638,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",35,0,-251.43958221127286,"{0: 23, 1: 1, 2: 3, 3: 4, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",25,0,-155.35062047819085,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",20,0,-42.72256570733501,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-112.33868221325127,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",20,0,-82.91472225436188,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,14,-10.242324444183945,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,3,12.640094646634083,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",25,0,-88.69749891728327,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-34.54556855321578,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,3,-56.19170297384465,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",35,0,-80.88722102503326,"{0: 28, 1: 1, 2: 3, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,0,-34.31447758778842,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",25,0,-109.57572553471587,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-68.1822588307105,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-65.95973026401005,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,2,-40.63705932873495,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,0,-125.54446326592583,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-48.6184557725538,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",30,0,-27.053351413982234,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,0,-49.01908811633363,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",30,14,-104.17905338462937,"{0: 6, 1: 1, 2: 7, 3: 2, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-85.04249285160726,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-60.12612995157684,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-70.09363139758385,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,0,-48.56534683910667,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-153.41417375640512,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-131.72048976946326,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-33.930015648867354,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",30,8,-14.454396939889971,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",25,0,-136.50506387422593,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",30,0,-112.75918789181978,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,0,-35.262076906378354,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-22.274005811031028,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,0,-118.03013315088381,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
