trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.8585758973747,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.5041990032769,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-242.06394282508384,"{0: 18, 1: 0, 2: 6, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.39924634068138,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.71615317590778,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.95931409259137,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-197.2215543548741,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.4913727263703,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,6,-32.87576278946079,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.19720476673453,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.76998521118927,"{0: 17, 1: 1, 2: 8, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-204.1347672384948,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-154.5899761738624,"{0: 22, 1: 1, 2: 8, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.6434569648207,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,16,-2.8888052947495506,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.76084284213174,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-333.87369846420995,"{0: 15, 1: 6, 2: 8, 3: 0, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.77078828217056,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.0264868202681,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.56489979917285,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.02458478019224,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.476366316853348,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.93127355719116,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-101.6130872277966,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.39243619437755,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.45028821348282,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.49168013840836,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.94419303508663,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-72.28843670226709,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.88329712889934,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
